Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500027339;Обновление признаков;Закрыт;OFERTA;08.01.2021;-;;;-
5500027340;Контроль качества данных АО МТО;В работе;AO_MTO;08.01.2021;30.06.2021;24.07.2021;13.01.2022;173
5500027351;Необходима доработка развертки сметы в ч;В ожидании акта от подрядчика;SAPFIR;09.01.2021;31.05.2021;01.06.2021;31.05.2021;-
5500027352;Добавить «Журнал ошибок ЭЭ МП» в отчеты;Закрыт;SHAHMATKA;11.01.2021;-;;;-
5500027353;Релиз вендора 2.5.158;Закрыт;ZUP;11.01.2021;-;;;-
5500027354;Загрузка транзакционных данных бухгалтер;В ожидании акта от подрядчика;KSHD;11.01.2021;08.10.2021;19.08.2021;08.10.2021;50
5500027355;Изменения в СЗВ-ТД (релиз вендора);Закрыт;ZUP;11.01.2021;-;;;-
5500027356;Настройка режимов работы системы ИнтелПл;Отклонен;AO_MTO;12.01.2021;-;;;-
5500027357;Расчет уровня страховых запасов для синт;В ожидании акта от подрядчика;AO_MTO;12.01.2021;16.03.2022;16.07.2021;16.03.2022;243
5500027358;Формирование плана перемещений сверхзапа;Отклонен;AO_MTO;12.01.2021;-;;;-
5500027359;Формирование товарной матрицы в системе;Отклонен;AO_MTO;12.01.2021;-;;;-
5500027361;Загрузка транзакционных данных бухгалтер;Закрыт;KHD_BEF;11.01.2021;-;;;-
5500027362;Разработка инструмента для создания доку;Закрыт;SAPFIR;11.01.2021;-;;;-
5500027363;Разработка инструмента для создания сбыт;Закрыт;SAPFIR;11.01.2021;-;;;-
5500027364;Необходимо создать функциональный справо;Отклонен;KSUIT;11.01.2021;-;;;-
5500027365;Настройки КСУ НСИ ПД через КШД для интег;Отклонен;KSU_NSI;11.01.2021;-;;;-
5500027366;Корректировка расчета эскалаций в Наряда;Закрыт;KSUIT;11.01.2021;-;;;-
5500027368;Настройка даты действия Групп МТР в Набо;В работе;OFERTA;11.01.2021;15.02.2022;14.06.2021;19.07.2022;400
5500027369;Доработка платежного поручения реквизит;В согласовании.Менеджер процесса;UPP_NS;12.01.2021;15.01.2021;09.05.2021;10.05.2021;1
5500027370;реинициализация бюджета;Закрыт;SAPFIR;12.01.2021;-;;;-
5500027371;Обновление формы налоговой деклрации по;Отклонен;UPP_NS;12.01.2021;-;;;-
5500027372;Настройки КСУ НСИ ПД через КШД для интег;Отклонен;KSHD;12.01.2021;-;;;-
5500027373;Отображение данных о тех. поддержке в ин;Закрыт;KSUIT;12.01.2021;-;;;-
5500027374;Отключение регламентных заданий;В работе;ERP_KFSCH;12.01.2021;14.01.2022;29.04.2021;01.05.2022;367
5500027375;Реестры для подтверждения ставки НДС 0%;Согласование ЧТЗ ВБР;UPP_MB;12.01.2021;03.11.2021;30.08.2021;21.06.2022;295
5500027376;"Изменения в шаблон ""Изменение ВМ""";В ожидании акта от подрядчика;KSUIT;12.01.2021;16.07.2021;18.05.2021;16.07.2021;58
5500027377;Создание новой технической роли в АСХД д;Закрыт;ASKHD;12.01.2021;-;;;-
5500027378;Выгрузка графиков ЭПБ транзакции;В разработке ЧТЗ;TORO_NPZ;12.01.2021;31.01.2021;13.08.2021;01.09.2021;19
5500027379;Интеграция УПП НЭН с SAP Шаблон МТО;Согласование ЧТЗ Инициатором;KSHD;12.01.2021;24.12.2021;13.09.2021;25.08.2022;346
5500027380;Доработка АС «Планирование»;Закрыт;OFERTA;12.01.2021;-;;;-
5500027383;Необходимы новые атрибуты в системах для;Отклонен;SAP_HR;13.01.2021;-;;;-
5500027384;АСУЗ (база цен): Доработка функционала б;Закрыт;OFERTA;14.01.2021;-;;;-
5500027385;Доработка zinmm097 и zinmm550 (в дополне;Отклонен;OFERTA;14.01.2021;-;;;-
5500027386;Новые грейды и шкалы с 01.04.2021;Закрыт;ZUP;14.01.2021;-;;;-
5500027387;Дополнительная доработка по методике, ре;Закрыт;OIS_PRODUC;14.01.2021;-;;;-
5500027388;Внесение ТФД в SAP;В работе;OFERTA;14.01.2021;15.02.2022;17.06.2021;19.07.2022;397
5500027389;Оборачивамость по данным учета SAP BPC;Закрыт;TC_MSFO;14.01.2021;-;;;-
5500027390;Новый отчёт по штатному расписанию;Закрыт;SAP_HR;14.01.2021;-;;;-
5500027391;автоматическое согласование ведомости ма;Закрыт;OFERTA;12.01.2021;-;;;-
5500027392;(ШУЗ) Доработка функционала оприходовани;Закрыт;OFERTA;12.01.2021;-;;;-
5500027393;Роботизация шага согласования Администра;В разработке ЧТЗ;SUID;12.01.2021;29.01.2021;18.09.2021;05.10.2021;17
5500027394;Оптимизация структуры хранения  данных и;Отклонен;SMA_BRD;13.01.2021;-;;;-
5500027395;Интеграция FW Recruiter с SAP PO (ontarg;Закрыт;KSHD;13.01.2021;-;;;-
5500027396;Доработка транзакции ZINMM519 - Счета-фа;Закрыт;OFERTA;13.01.2021;-;;;-
5500027397;Расширение  программы  ZUNIINV_LOAD_PRPS;Закрыт;SAPFIR;13.01.2021;-;;;-
5500027398;"Подключение ООО ""АНО ИНТИ"" к СУИД";Реализовано;SUID;13.01.2021;11.11.2021;05.09.2021;02.07.2022;300
5500027399;Формирование JSON-запросов из КСУ НСИ;В работе;KSU_NSI;13.01.2021;24.12.2021;09.09.2021;20.08.2022;345
5500027400;Добавление аналитики табельный/условный;В разработке ЧТЗ;OFERTA;14.01.2021;31.01.2022;29.06.2021;16.07.2022;382
5500027401;Разработка инструмента для оценки необхо;Закрыт;SEVBB;14.01.2021;-;;;-
5500027402;Организовать подключение систем SAP ERP;Отклонен;EHD;15.01.2021;-;;;-
5500027403;Использование таблиц соответствия ЕССПС;Закрыт;SPO;15.01.2021;-;;;-
5500027404;Реализация сбора информации для проведен;Отклонен;OFERTA;18.01.2021;-;;;-
5500027405;Отчет ZINMM525;Закрыт;OFERTA;18.01.2021;-;;;-
5500027406;Отчет ZINMM526;Закрыт;OFERTA;18.01.2021;-;;;-
5500027407;Отчет ZINMM030;Закрыт;OFERTA;18.01.2021;-;;;-
5500027408;Отчет ZBARCODE_01;Отклонен;SAPFIR;18.01.2021;-;;;-
5500027409;Добавление поля «Статус поставки (коммен;Закрыт;INTSPACEZA;18.01.2021;-;;;-
5500027410;Разработать подсистему «Управление досту;Закрыт;SKIB;18.01.2021;-;;;-
5500027411;Интеграция результатов выполнения контро;В работе;KHD_BEF;14.01.2021;30.12.2021;04.07.2021;19.06.2022;350
5500027412;Тиражирование приложения СЭД НМД в ООО «;Согласование ЧТЗ ВБР;SED_NMD;14.01.2021;08.02.2021;14.09.2021;09.10.2021;25
5500027413;Разработать подсистему «Управление досту;Закрыт;SKIB;14.01.2021;-;;;-
5500027414;Доработка формы налоговой декларации по;Закрыт;SAPFIR;14.01.2021;-;;;-
5500027415;Автоматическая регистрация к обмену элем;В работе;NSI_ESST;15.01.2021;20.05.2022;20.07.2021;22.11.2022;490
5500027416;581 ОБНОВЛЕНИЕ форм реестров НДС и КСФ;В ожидании акта от подрядчика;ERP_KFSCH;15.01.2021;05.07.2021;20.04.2021;05.07.2021;75
5500027417;Исключение из плоского файла данных, кот;Отклонен;UPP_AERO;15.01.2021;-;;;-
5500027418;Исключение из плоского файла данных, кот;Отклонен;UPP_MB;15.01.2021;-;;;-
5500027419;Необходимо выполнять передачу SAP ЕСК в;Закрыт;ERP_KFSCH;15.01.2021;-;;;-
5500027420;АСУЗ: Доработка протокола инициирования,;Закрыт;OFERTA;15.01.2021;-;;;-
5500027422;ИС «ЭРА-Мехфонд», ИС «OIS-Production», И;В разработке ЧТЗ;SHAHMATKA;18.01.2021;30.03.2024;05.11.2021;15.01.2025;1167
5500027424;Доработка платежного поручения реквизит;В разработке ЧТЗ;UPP_MZSM;19.01.2021;31.12.2021;06.06.2021;18.05.2022;346
5500027425;Обновление формы декларации по НДС;В ожидании акта от подрядчика;UPP_AERO;19.01.2021;28.02.2022;08.06.2021;28.02.2022;264
5500027426;Автоматическая инвентаризация резервов (;Отклонен;ZUP;19.01.2021;-;;;-
5500027427;Обновление формы декларации по НДС;Отклонен;UPP_MZSM;19.01.2021;-;;;-
5500027428;изменения в селекц. экране т/а ZINMM509;Закрыт;OFERTA;19.01.2021;-;;;-
5500027429;Реализация лендинга по программам кадров;Закрыт;WEB_TUTOR;19.01.2021;-;;;-
5500027430;Создать роль для БЕ 1240 для выполнения;Отклонен;OFERTA;19.01.2021;-;;;-
5500027431;Адаптировать новый КТ-777 к текущим реше;В ожидании акта от подрядчика;KSU_NSI;18.01.2021;29.11.2021;02.09.2021;29.11.2021;88
5500027432;Расширение для ООО «Газпромнефть-Заполяр;Закрыт;CERERA;19.01.2021;-;;;-
5500027433;Создать роль для БЕ 1240 для выполнения;В разработке ЧТЗ;OFERTA;20.01.2021;31.12.2021;05.07.2021;15.06.2022;345
5500027434;Загрузка квалификаций - обучений для S;В работе;SAP_HR;20.01.2021;30.11.2021;06.07.2021;16.05.2022;314
5500027435;При формировании печатной формы счета на;Отклонен;UPP_MZSM;20.01.2021;-;;;-
5500027436;Контроль актуальности документов поставщ;В разработке ЧТЗ;OFERTA;20.01.2021;31.12.2021;05.07.2021;15.06.2022;345
5500027437;Настройка автоматического заполнения БА;В разработке ЧТЗ;SAPFIR;20.01.2021;27.01.2022;06.07.2021;13.07.2022;372
5500027438;Внесение изменений в схему маскирования;Закрыт;SAP_HR;20.01.2021;-;;;-
5500027439;Ведение признака возможности повторного;В разработке ЧТЗ;SAP_HR;20.01.2021;31.12.2021;18.07.2021;28.06.2022;345
5500027440;Доработка транзакции J3RFSELB (Книга про;В ожидании акта от подрядчика;SAPFIR;20.01.2021;27.01.2022;12.06.2021;27.01.2022;229
5500027441;Открытие блока инициации заявки на измен;Закрыт;SUD_BLPS;19.01.2021;-;;;-
5500027442;Доработка приложения по аналитической от;Оценка объема работ;INTSPACEZA;19.01.2021;15.04.2021;07.07.2021;26.09.2021;81
5500027443;Активация СУС на складе Г242;Закрыт;OFERTA;19.01.2021;-;;;-
5500027444;Корректировка роли для администрирования;Закрыт;SYSTEM_AUT;19.01.2021;-;;;-
5500027445;Расширение на АСУС новых складов;Закрыт;OFERTA;19.01.2021;-;;;-
5500027446;Интеграция 1С НСИ UPSTREAM, iChart Desig;Закрыт;KSU_NSI;20.01.2021;-;;;-
5500027447;Добавление полей в справочник «Период бы;Закрыт;KSUIT;20.01.2021;-;;;-
5500027448;Тр. ZINMM773 – доработка вывода данных в;В работе;OFERTA;20.01.2021;15.02.2022;23.06.2021;19.07.2022;391
5500027449;Автоматическое заполнение расчетной базы;В работе;KSU_NSI;21.01.2021;01.07.2022;17.09.2021;25.02.2023;526
5500027450;Ограничение на ввод недопустимых символо;Закрыт;SAPFIR;21.01.2021;-;;;-
5500027451;Выполнить доработку существующего алгори;В разработке ЧТЗ;ZUP;21.01.2021;15.08.2022;25.08.2021;19.03.2023;571
5500027452;Массовая привязка;Закрыт;KSUIT;21.01.2021;-;;;-
5500027453;Проверка шаблона рассылки смс о КИ;Закрыт;KSUIT;22.01.2021;-;;;-
5500027454;Доработка нормы проживания форме ИКП;Закрыт;SAP_HR;22.01.2021;-;;;-
5500027455;Интерфейс самостоятельной подачи докумен;В работе;SEVBB;22.01.2021;28.02.2022;05.08.2021;11.09.2022;402
5500027456;Разработка расширенной интеграции СЭВ ББ;В работе;SEVBB;22.01.2021;28.02.2022;05.08.2021;11.09.2022;402
5500027458;Необходимо внести изменения  в схему кап;Отклонен;UPP_AERO;25.01.2021;-;;;-
5500027459;Процеесс реализации в валюте: доработки;Закрыт;OFERTA;25.01.2021;-;;;-
5500027460;Вывод показаний уставки напряжения отпай;Отклонен;SHAHMATKA;25.01.2021;-;;;-
5500027461;Формирование JSON-запросов из КСУ НСИ;В работе;KSHD;22.01.2021;24.12.2021;11.09.2021;13.08.2022;336
5500027462;Необходимо выполнять передачу SAP ЕСК в;В ожидании акта от подрядчика;SAPFIR;22.01.2021;06.08.2021;14.06.2021;06.08.2021;53
5500027463;Необходимо выполнять передачу SAP ЕСК в;В ожидании акта от подрядчика;KSHD;22.01.2021;19.05.2021;30.08.2021;19.05.2021;-
5500027464;ZFI_REESTR - Реестры -Добавить дополните;Отклонен;SBYT;22.01.2021;-;;;-
5500027465;Добавление раздела ООО «ГПН-ТП» (Томск);Закрыт;SAP_HR;22.01.2021;-;;;-
5500027466;Доработка транзакций ZFICOSTSCALC (Расче;В ожидании акта от подрядчика;SAPFIR;22.01.2021;24.02.2022;14.06.2021;24.02.2022;255
5500027467;Доработка функционала в системах SAP СБЫ;Отклонен;SAPFIR;22.01.2021;-;;;-
5500027468;Для всего периметра SAP ERP необходимо р;Отклонен;SAPFIR;22.01.2021;-;;;-
5500027469;Доработка отчетности по системе планиров;В работе;OFERTA;22.01.2021;25.02.2022;25.06.2021;29.07.2022;399
5500027470;Аналитические признаки по позициям заявк;Закрыт;OFERTA;22.01.2021;-;;;-
5500027471;Доработка справочника сотрудников на кор;Закрыт;KP;22.01.2021;-;;;-
5500027472;Тр. ZUKS027 – Согласование позиций ведом;Закрыт;OFERTA;22.01.2021;-;;;-
5500027473;Разработка универсальной печатной формы;Закрыт;TORO_NPZ;22.01.2021;-;;;-
5500027474;Разработать подсистему «Управление досту;В работе;SKIB;26.01.2021;31.12.2021;11.06.2021;16.05.2022;339
5500027475;Интеграция 1С НСИ Upstream, ТОРО БРД;Отклонен;KSHD;26.01.2021;-;;;-
5500027477;Добавление полей в alv отчет ZINPLZ010 -;Отклонен;OFERTA;26.01.2021;-;;;-
5500027478;Передача справочников из КСУ НСИ ПД (ЕСС;Отклонен;KSU_NSI;26.01.2021;-;;;-
5500027479;Применение правил СВД в ИС «Шахматка и Т;Закрыт;SHAHMATKA;26.01.2021;-;;;-
5500027480;Роль начальника ГЗ 446;Отклонен;OFERTA;26.01.2021;-;;;-
5500027481;СМ Добавление реквизитов в документе Реа;В ожидании акта от подрядчика;ERP_KFSCH;25.01.2021;14.06.2021;30.04.2021;14.06.2021;44
5500027482;Создание ИБ 1С ЗУП для специализированно;Закрыт;ZUP;25.01.2021;-;;;-
5500027483;Доработка создания проводок по шаблону E;Закрыт;SAPFIR;25.01.2021;-;;;-
5500027484;Доработка системы СБЫТ+;В ожидании акта от подрядчика;SBYT;25.01.2021;24.03.2022;02.06.2021;24.03.2022;294
5500027486;Доработка расчета земельного налога при;В работе;SAPFIR;25.01.2021;31.01.2022;29.06.2021;05.07.2022;371
5500027487;Доработка витрины данных ИСУП ГПН (expor;Закрыт;ISUP_GPN;25.01.2021;-;;;-
5500027488;Дополнить форму Акта ОС-15 аналитикой в;В работе;OFERTA;25.01.2021;25.02.2022;28.06.2021;29.07.2022;396
5500027489;Интеграция 1С НСИ Upstream, ТОРО БРД;Отклонен;TORO_BRD;25.01.2021;-;;;-
5500027491;Доработка транзакций ZINMM773, ZITSKMM13;В работе;OFERTA;26.01.2021;15.02.2022;29.06.2021;19.07.2022;385
5500027492;Ввод в состав ИС «Портал самообслуживани;Закрыт;PORTALSELF;26.01.2021;-;;;-
5500027493;Выделение скважин с осложняющими фактора;Отклонен;SHAHMATKA;26.01.2021;-;;;-
5500027494;Расширение функциональности;Закрыт;OFERTA;27.01.2021;-;;;-
5500027495;Автоматизированный отчет по поступлению;В разработке ЧТЗ;INTSPACEZA;27.01.2021;31.03.2022;15.07.2021;16.09.2022;428
5500027496;Доработка транзакций ZUNI_STRDECL_01 (Ра;В работе;SAPFIR;27.01.2021;28.02.2022;01.07.2021;02.08.2022;397
5500027497;Создание новых кодов амортизации для 10%;Закрыт;SAPFIR;27.01.2021;-;;;-
5500027498;Доработка механизма публикации на контро;В разработке ЧТЗ;KSU_NSI;27.01.2021;01.04.2022;05.10.2021;08.12.2022;429
5500027499;Загрузка данных на сотрудников в ИТ 9015;Закрыт;SAP_HR;27.01.2021;-;;;-
5500027501;реинициализация бюджета;Отклонен;SAP_HR;27.01.2021;-;;;-
5500027502;Передача справочных данных ЕССТ из систе;Отклонен;KSU_NSI;27.01.2021;-;;;-
5500027503;Учет ТОиР выполняемых собственными силам;Закрыт;TORO_NPZ;28.01.2021;-;;;-
5500027504;Массовая загрузка данных по продаже имущ;В ожидании акта от подрядчика;ERP_KFSCH;28.01.2021;18.06.2021;03.05.2021;18.06.2021;45
5500027505;Создание в СУИД функциональности управле;В разработке ЧТЗ;SUID;28.01.2021;01.06.2022;04.10.2021;05.02.2023;489
5500027506;Увелечение размерности кода элемента в с;В ожидании акта от подрядчика;KSHD;29.01.2021;22.11.2021;06.09.2021;22.11.2021;77
5500027509;Отчетность по Невидимому Сервису;В работе;ARM_DITAT;01.02.2021;19.11.2021;24.10.2021;11.08.2022;291
5500027510;Формирование документа ЗИС в ИКП;Закрыт;SAP_HR_TM;01.02.2021;-;;;-
5500027511;Ознакомление сотрудников с результатами;В работе;SAP_HR;27.01.2021;31.01.2022;13.07.2021;17.07.2022;369
5500027512;Внесение изменений в SAP;Отклонен;OFERTA;27.01.2021;-;;;-
5500027513;Обновление SAP DM для IR;Закрыт;SAP_BASIS;27.01.2021;-;;;-
5500027514;Проведение оптимизации кода КСУ НСИ при;Оценка объема работ;NSI_BEF;28.01.2021;13.12.2021;14.08.2021;24.06.2022;314
5500027515;Интеграция проекта U190001536 АИСКЗ с КС;Закрыт;KSU_NSI;28.01.2021;-;;;-
5500027516;Интеграция 1С НСИ UPSTREAM, iChart Desig;В ожидании акта от подрядчика;KSHD;28.01.2021;22.10.2021;05.09.2021;22.10.2021;47
5500027517;Настройка в SPRO параметра конфигурации;Закрыт;SYSTEM_AUT;28.01.2021;-;;;-
5500027518;Реализация отчета: Анализ давлений;В разработке ЧТЗ;OIS_USOI;28.01.2021;11.02.2022;01.09.2021;15.09.2022;379
5500027519;Добавление показателя Добыча газа попутн;Закрыт;OIS_PRODUC;28.01.2021;-;;;-
5500027520;Исключить право на открытие внешний обра;В разработке ЧТЗ;ZUP;28.01.2021;05.09.2022;01.09.2021;09.04.2023;585
5500027521;"Добавление прав доступа к обработке ""ИТ_";В согласовании.Менеджер процесса;ZUP;28.01.2021;12.02.2021;23.08.2021;05.09.2021;13
5500027522;Доработка функционала в системах SAP СБЫ;Отклонен;SBYT;28.01.2021;-;;;-
5500027523;Реализация функционала Random-coffee на;В ожидании акта от подрядчика;PORT_ITSK;29.01.2021;03.09.2021;29.05.2021;03.09.2021;97
5500027524;Обновление портала Газпромнефть-Востока;Отклонен;PORT_GPNVK;29.01.2021;-;;;-
5500027525;Привязка инцидента к проблеме;Закрыт;KSUIT;29.01.2021;-;;;-
5500027526;Отчет для проверки наличия базы распреде;Отклонен;ERP_KFSCH;29.01.2021;-;;;-
5500027527;Разработка страницы и функционала факуль;Закрыт;WEB_TUTOR;29.01.2021;-;;;-
5500027528;Доработка процесса ведения ВР;Закрыт;TORO_NPZ;29.01.2021;-;;;-
5500027529;Добавление раздела ООО «ГПН-ТП» (Томск);Отклонен; ;29.01.2021;-;;;-
5500027530;Реализация функционала ГПЗ в части прове;Закрыт;OFERTA;29.01.2021;-;;;-
5500027531;Расширение аналитик транзакции ZUNI_OSDK;Закрыт;SAPFIR;29.01.2021;-;;;-
5500027532;Отчет CSI;Закрыт;WEB_TUTOR;29.01.2021;-;;;-
5500027533;Лендинг программ по наставничеству;Закрыт;WEB_TUTOR;29.01.2021;-;;;-
5500027534;Расширение прав на виджет статистики уче;Закрыт;WEB_TUTOR;29.01.2021;-;;;-
5500027535;Новый показель на ДБ кафедры;Закрыт;WEB_TUTOR;29.01.2021;-;;;-
5500027536;Доработка интеграции систем КСУ НСИ и СА;Закрыт;SAPFIR;29.01.2021;-;;;-
5500027537;Передача информации об информационных си;Закрыт;KSU_NSI;29.01.2021;-;;;-
5500027538;Передача справочников из 1С КСУ НСИ (ЕСМ;В работе;KSU_NSI;29.01.2021;28.01.2022;25.09.2021;24.09.2022;364
5500027539;Передача информации о проектах и стоимос;Приемка Сервис Менеджером;ISUP_GPN;29.01.2021;29.12.2021;25.06.2021;21.05.2022;330
5500027540;Корректировка оповещений КСУИТ (Конфигур;Закрыт;KSUIT;29.01.2021;-;;;-
5500027541;Контроль актуальности документов поставщ;Отклонен;OFERTA;29.01.2021;-;;;-
5500027542;Интеграция 1С НСИ Upstream, ОТМ;Отклонен;RAP_GRDOB;01.02.2021;-;;;-
5500027543;Интеграция 1С НСИ Upstream, ЭРА-Ремонты;Отклонен;ERA_REM;01.02.2021;-;;;-
5500027544;"в справочник ""Номенклатурные группы"" доб";В разработке ЧТЗ;UPP_AERO;01.02.2021;04.03.2022;15.07.2021;15.08.2022;396
5500027545;Интеграция 1С НСИ Upstream, САПФИР (SAP;Закрыт;SAPFIR;01.02.2021;-;;;-
5500027546;"в справочник ""Номенклатурные группы"" доб";В разработке ЧТЗ;UPP_MB;01.02.2021;31.12.2021;19.09.2021;18.08.2022;333
5500027547;Валидация бизнес-решений в СУИД;Оценка объема работ;ESIS;01.02.2021;07.07.2021;24.07.2021;22.12.2021;151
5500027549;Определение источников данных и наполнен;В ожидании акта от подрядчика;SAPFIR;01.02.2021;20.09.2021;24.06.2021;20.09.2021;88
5500027550;Реализация функциональности осуществлени;В работе;OFERTA;01.02.2021;17.12.2021;05.07.2021;20.05.2022;319
5500027551;Вынесение на ЗК итогов тех. оценки для Д;В ожидании акта от подрядчика;OFERTA;01.02.2021;29.03.2022;23.06.2021;29.03.2022;278
5500027552;Доработка АСУЗ в части возможностей рабо;В работе;OFERTA;01.02.2021;22.07.2021;05.07.2021;23.12.2021;171
5500027553;Доработка АСУЗ в части настройки дополни;Закрыт;OFERTA;01.02.2021;-;;;-
5500027554;Газовый фактор по ГПН-Ямал.;Закрыт;SMD;01.02.2021;-;;;-
5500027555;Доработка экспертного сообщества ПБ;Закрыт;PORTAL_HSE;01.02.2021;-;;;-
5500027556;Автомат-е коп-е влож-й ДД в ДМС тр.ME32K;Закрыт;OFERTA;02.02.2021;-;;;-
5500027557;Изменение порядка косвенного (расчетного;В работе;OIS_PLUS;02.02.2021;23.09.2021;31.12.2021;21.08.2022;233
5500027558;Ведение фактических потерь в ИС «АРМ-Дис;В работе;SHAHMATKA;02.02.2021;27.02.2022;08.11.2021;03.12.2022;390
5500027559;Перенос срока хранения/МСГ из SAP-портал;В разработке ЧТЗ;OFERTA;02.02.2021;31.12.2021;18.07.2021;15.06.2022;332
5500027560;Добавление полей в тр. ZUNI_OSDK и VA03;Отклонен;SAPFIR;02.02.2021;-;;;-
5500027561;Вывод показаний уставки напряжения отпай;В разработке ЧТЗ;SHAHMATKA;02.02.2021;15.06.2024;20.11.2021;02.04.2025;1229
5500027562;Реализация сводного отчета процедур ОП;Отклонен;AO_MTO;02.02.2021;-;;;-
5500027563;Формы Росстат (приказ от 24.07.2020 №412;Закрыт;ZUP;02.02.2021;-;;;-
5500027564;Отчет по таможенным декларациям для МСФО;В ожидании акта от подрядчика;SAPFIR;03.02.2021;28.09.2021;26.06.2021;28.09.2021;94
5500027565;Увелечение размерности кода элемента в с;В ожидании акта от подрядчика;KSU_NSI;03.02.2021;02.11.2021;18.09.2021;02.11.2021;45
5500027566;Загрузка транзакционных данных бухгалтер;В ожидании акта от подрядчика;KSHD;03.02.2021;21.10.2021;11.09.2021;21.10.2021;40
5500027567;Формы Росстат (приказ от 24.07.2020 №412;Отклонен;SAP_HR;03.02.2021;-;;;-
5500027568;Загрузка транзакционных данных бухгалтер;В ожидании акта от подрядчика;KSHD;03.02.2021;08.10.2021;11.09.2021;08.10.2021;27
5500027569;Доработка транзакции S_EBS_44000565 (Жур;В ожидании акта от подрядчика;SAPFIR;04.02.2021;11.02.2022;27.06.2021;11.02.2022;229
5500027570;Модернизация отчета по использованию мат;В работе;OFERTA;04.02.2021;15.02.2022;08.07.2021;19.07.2022;376
5500027571;Установка нот для корректировки отчетов;В согласовании.Владелец шаблона;PORT_ITSK;02.02.2021;04.02.2021;30.06.2021;30.06.2021;-
5500027572;Создание роли КСУИТ «Администратор ОЦО»,;Отклонен;KSUIT;02.02.2021;-;;;-
5500027573;Новый формат представления реестра докум;Закрыт;SAPFIR;03.02.2021;-;;;-
5500027574;Интеграция справочников ПБ системы 1С ТО;Отклонен; ;03.02.2021;-;;;-
5500027575;Создание ИБ 1С ЗУП для Ассоциация «Искус;Закрыт;ZUP;03.02.2021;-;;;-
5500027576;Создание ИБ 1С ЗУП для МКООО «Звезда»;Закрыт;ZUP;03.02.2021;-;;;-
5500027577;Для функционала АС «Планирование» (транз;Закрыт;OFERTA;03.02.2021;-;;;-
5500027578;Формы Росстат (приказ от 24.07.2020 №412;Закрыт;SAP_HR;03.02.2021;-;;;-
5500027579;Расширение функциональности;В работе;OFERTA;03.02.2021;18.03.2022;07.07.2021;19.08.2022;408
5500027580;Загрузка транзакционных данных бухгалтер;Закрыт;KHD_BEF;03.02.2021;-;;;-
5500027581;Загрузка транзакционных данных бухгалтер;Закрыт;KHD_BEF;03.02.2021;-;;;-
5500027582;Администратор НСИ по направлению ОЦО;Закрыт;KSUIT;03.02.2021;-;;;-
5500027583;Корректировка транзакции передачи данных;Закрыт;SBYT;03.02.2021;-;;;-
5500027584;ZINMM082;В работе;OFERTA;04.02.2021;15.02.2022;08.07.2021;19.07.2022;376
5500027585;MIGO;Отклонен;OFERTA;04.02.2021;-;;;-
5500027586;Настройка отчета П4 по кодам ОКПО;Закрыт;SAP_HR;04.02.2021;-;;;-
5500027587;Внесение данных в SAP 6.0 HR Награждения;Закрыт;SAP_HR;04.02.2021;-;;;-
5500027588;Добавить параметр скважины;Отклонен;SHAHMATKA;05.02.2021;-;;;-
5500027589;Разработка печатной формы ИНВ-3 на основ;Закрыт;SAPFIR;08.02.2021;-;;;-
5500027592;Публикация виджета чат-бот;В ожидании акта от подрядчика;ASOKPCHBOT;04.02.2021;23.07.2021;11.05.2021;23.07.2021;73
5500027593;Создание ИБ 1С ЗУП для специализированно;В ожидании акта от подрядчика;KSHD;04.02.2021;07.09.2021;12.09.2021;07.09.2021;-
5500027594;Размещение интерактивной карты 2.0;Отклонен;KP;04.02.2021;-;;;-
5500027595;Создание ИБ 1С ЗУП для специализированно;В ожидании акта от подрядчика;KKO;04.02.2021;25.08.2021;09.08.2021;25.08.2021;15
5500027596;"в справочник ""Номенклатурные группы"" доб";Отклонен;UPP_ITSK;04.02.2021;-;;;-
5500027597;Доработка интеграции систем КСУ НСИ и СА;Отклонен;OFERTA;04.02.2021;-;;;-
5500027598;Доработка интеграции систем КСУ НСИ и СА;В ожидании акта от подрядчика;KSHD;04.02.2021;14.07.2021;12.09.2021;14.07.2021;-
5500027599;Доработка интеграции систем КСУ НСИ и СА;В ожидании акта от подрядчика;KSU_NSI;04.02.2021;19.07.2021;19.09.2021;19.07.2021;-
5500027600;Добавление раздела ООО «ГПН-ТП» (Томск);В ожидании акта от подрядчика;SAPFIR;04.02.2021;07.06.2021;27.06.2021;07.06.2021;-
5500027601;Добавление индивидуального ограничения з;В работе;SHAHMATKA;04.02.2021;05.06.2023;10.11.2021;10.03.2024;851
5500027602;Модернизация функционала КСУ НСИ, исправ;В работе;KSU_NSI;04.02.2021;28.01.2022;01.10.2021;24.09.2022;358
5500027603;Выделение информации о дате поступления;В работе;OFERTA;04.02.2021;20.03.2022;08.07.2021;21.08.2022;409
5500027604;Модернизация переклассификации и перемар;Закрыт;KSUIT;04.02.2021;-;;;-
5500027605;Ввод в состав ИС «Портал самообслуживани;В работе;PORTALSELF;04.02.2021;31.03.2022;08.10.2021;02.12.2022;420
5500027606;Предупреждение пользователя о заблокиров;В разработке ЧТЗ;OFERTA;05.02.2021;31.12.2021;21.07.2021;15.06.2022;329
