Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500028427;МФР=>СПО-2;Закрыт;SPO;08.04.2021;-;;;-
5500028428;Проектирование и реализация количественн;Расширение объема;OFERTA;08.04.2021;29.12.2021;09.09.2021;30.05.2022;263
5500028429;Доработка «ЕСОН-АРМ» АТ МЦОН для возможн;Закрыт;ESON;08.04.2021;-;;;-
5500028430;Униф-я справочника Док-ты удостовер.личн;Согласование ЧТЗ ВБР;SAP_HR;08.04.2021;31.05.2021;04.10.2021;26.11.2021;53
5500028431;Униф-я справочника Виды док-в образован.;Согласование ЧТЗ ВБР;SAP_HR;08.04.2021;03.08.2021;04.10.2021;29.01.2022;117
5500028432;Униф-я справочника Основания Увольнения;Согласование ЧТЗ ВБР;SAP_HR;08.04.2021;22.06.2021;04.10.2021;18.12.2021;75
5500028433;Доработка тенанта HSE;Закрыт;PORTAL_HSE;08.04.2021;-;;;-
5500028434;Обеспечение передачи данных об отгрузках;Отклонен; ;08.04.2021;-;;;-
5500028435;Обеспечение передачи данных об отгрузках;Отклонен; ;08.04.2021;-;;;-
5500028437;Автоматизация обработки информации по со;Отклонен;KSU_NSI;08.04.2021;-;;;-
5500028438;"Создание Формы ввода ""Бенчмаркинг ВИНК""";Закрыт;NS_KGN;08.04.2021;-;;;-
5500028439;520 НСИ: Включение в функционал Блокиров;В ожидании акта от подрядчика;ERP_KFSCH;08.04.2021;09.08.2021;12.07.2021;09.08.2021;27
5500028440;Обработка ВО2020 Надб за профессионализм;Закрыт;SAP_HR;08.04.2021;-;;;-
5500028441;Уведомления при создании нарядов;Закрыт;KSUIT;08.04.2021;-;;;-
5500028443;Обеспечение обмена данных по бункеровщик;Отклонен; ;09.04.2021;-;;;-
5500028444;Униф-я справочника Причины награждений;Отклонен;SAP_HR;09.04.2021;-;;;-
5500028445;Создание дополнительной стадии «Согласов;Оценка объема работ;SED_GPNNNG;09.04.2021;15.12.2021;07.02.2022;10.10.2022;245
5500028446;СРПО - доработка интеграции с СУП в ч;В разработке ЧТЗ;SRPO;09.04.2021;30.03.2022;09.09.2021;30.08.2022;355
5500028447;Обновление модуля классификации;В работе;NSI_ESMUR;09.04.2021;28.01.2022;12.10.2021;02.08.2022;294
